date,open,high,low,close,volume,ma5,volatility,frets_pred,timegnn_pred,ensemble_pred,risk_level
2026-01-15,100.45,101.07,100.24,100.35,868986,100.35,0.0,100.42,100.25,100.34,低
2026-01-16,100.56,101.91,100.08,100.52,861223,100.44,0.17,100.83,100.67,100.75,低
2026-01-17,100.18,101.47,99.52,100.7,897072,100.52,0.35,100.41,100.75,100.58,低
2026-01-18,101.83,102.8,100.82,101.93,944676,100.88,1.58,102.09,101.61,101.85,低
2026-01-19,103.13,103.49,102.52,103.3,1010011,101.36,2.95,102.69,104.54,103.62,低
2026-01-20,101.58,102.46,100.98,101.92,982014,101.67,2.78,102.81,102.05,102.43,低
2026-01-21,104.81,105.58,103.52,104.49,1063826,102.47,3.79,104.92,105.67,105.3,中
2026-01-22,104.28,105.75,103.41,104.8,953632,103.29,2.88,106.41,105.21,105.81,中
2026-01-23,106.77,108.0,104.82,105.66,1108007,104.03,3.74,105.89,106.67,106.28,低
2026-01-24,104.94,105.78,103.19,105.14,1076023,104.4,3.74,106.0,105.12,105.56,低
2026-01-25,105.36,105.71,103.83,104.76,1087345,104.97,1.17,105.98,105.31,105.65,中
2026-01-26,106.47,107.24,105.29,106.52,954107,105.38,1.76,106.73,106.29,106.51,低
2026-01-27,103.45,103.46,102.4,103.09,1004582,105.03,3.43,104.45,103.87,104.16,中
2026-01-28,104.79,106.04,103.96,104.91,1006210,104.88,3.43,104.96,106.13,105.54,低
2026-01-29,105.39,106.42,104.81,105.87,1090716,105.03,3.43,106.38,106.03,106.2,低
2026-01-30,103.85,104.92,103.28,104.37,1124228,104.95,3.43,104.39,104.2,104.3,低
2026-01-31,103.93,104.88,102.74,103.65,1129271,104.38,2.78,104.2,104.44,104.32,中
2026-02-01,104.23,104.27,103.8,104.23,973450,104.61,2.22,104.9,104.74,104.82,低
2026-02-02,104.04,104.72,102.47,103.74,1081682,104.37,2.22,104.12,105.58,104.85,中
2026-02-03,104.67,105.38,102.61,103.82,1018091,103.96,0.72,103.7,103.53,103.62,低
2026-02-04,102.44,103.36,101.28,102.56,1124320,103.6,1.67,102.91,103.41,103.16,低
2026-02-05,104.73,105.45,104.0,104.22,1099982,103.71,1.67,104.71,104.1,104.41,低
2026-02-06,101.17,101.53,99.87,101.19,1023007,103.11,3.03,100.73,101.17,100.95,低
2026-02-07,101.73,102.92,100.98,101.38,962286,102.63,3.03,101.39,102.03,101.71,低
2026-02-08,101.86,104.06,101.07,103.21,976684,102.51,3.03,103.51,102.46,102.98,低
2026-02-09,102.51,103.75,101.41,102.8,1050179,102.56,3.03,103.32,103.21,103.26,低
2026-02-10,103.4,104.28,103.17,103.25,1035114,102.37,2.06,104.0,103.63,103.81,低
2026-02-11,103.87,104.81,103.26,103.59,907901,102.85,2.21,103.74,103.4,103.57,低
2026-02-12,103.6,104.72,102.37,103.24,1006646,103.22,0.79,103.04,102.3,102.67,低
2026-02-13,102.9,104.83,102.47,103.44,852765,103.26,0.79,104.15,104.16,104.16,中
2026-02-14,105.0,105.72,103.44,104.67,815316,103.64,1.43,104.7,105.5,105.1,低
2026-02-15,103.89,104.92,103.75,103.82,894258,103.75,1.43,104.34,103.47,103.91,低
2026-02-16,102.77,103.45,102.16,103.11,810979,103.66,1.56,102.78,103.73,103.25,低
2026-02-17,103.95,104.5,103.6,104.11,803394,103.83,1.56,104.24,104.04,104.14,低
2026-02-18,103.66,105.16,102.56,104.28,846971,104.0,1.56,104.07,103.44,103.75,低
2026-02-19,104.06,104.49,103.05,103.77,757399,103.82,1.17,104.09,104.15,104.12,低
2026-02-20,104.32,105.23,103.39,104.35,879560,103.92,1.24,103.25,104.59,103.92,低
2026-02-21,104.3,104.93,102.77,103.96,836756,104.09,0.58,103.79,104.18,103.99,低
2026-02-22,101.77,102.87,100.73,101.98,707182,103.67,2.37,101.37,100.93,101.15,中
2026-02-23,101.86,102.81,100.58,101.64,792937,103.14,2.71,101.11,100.81,100.96,中
2026-02-24,101.32,103.18,100.45,101.96,799757,102.78,2.71,101.39,101.48,101.44,低
2026-02-25,100.76,102.62,100.12,101.14,823815,102.14,2.82,101.15,101.04,101.09,低
2026-02-26,102.94,103.47,101.07,102.16,782256,101.78,1.02,101.45,101.42,101.44,中
2026-02-27,100.48,101.5,98.91,100.27,732916,101.43,1.89,99.56,99.8,99.68,低
2026-02-28,99.94,101.69,99.41,100.23,772830,101.15,1.93,99.17,99.86,99.52,中
2026-03-01,99.34,100.04,97.49,98.61,805664,100.48,3.55,97.27,98.13,97.7,中
2026-03-02,99.27,100.63,98.57,99.59,755293,100.17,3.55,99.73,99.35,99.54,低
2026-03-03,97.23,98.22,96.21,97.0,782503,99.14,3.27,97.02,96.74,96.88,低
2026-03-04,97.92,98.75,97.5,97.66,877123,98.62,3.23,97.25,97.21,97.23,低
2026-03-05,97.69,98.83,95.7,96.56,763515,97.88,3.03,95.82,96.47,96.14,低
2026-03-06,99.04,99.73,98.3,98.84,795512,97.93,3.03,98.37,98.83,98.6,低
2026-03-07,96.98,98.98,96.47,97.61,841618,97.53,2.28,96.95,97.42,97.19,低
2026-03-08,96.59,98.48,95.98,97.0,767529,97.53,2.28,95.93,96.72,96.33,中
2026-03-09,95.18,96.09,94.91,95.95,810699,97.19,2.89,94.15,95.46,94.81,中
2026-03-10,96.6,97.12,95.24,96.21,782786,97.12,2.89,95.95,96.67,96.31,低
2026-03-11,95.46,96.82,94.46,95.12,914828,96.38,2.49,94.77,96.03,95.4,低
2026-03-12,95.47,97.66,94.55,96.44,817362,96.14,1.88,96.21,97.2,96.7,低
2026-03-13,97.54,98.01,96.24,96.54,917071,96.05,1.42,95.41,96.18,95.8,中
2026-03-14,100.36,100.61,97.85,99.02,855051,96.67,3.9,99.52,99.96,99.74,中
2026-03-15,97.57,99.34,96.32,98.79,965417,97.18,3.9,98.99,98.65,98.82,中
2026-03-16,96.58,97.98,95.31,96.78,1045242,97.51,2.58,96.39,97.51,96.95,低
2026-03-17,99.82,101.16,98.04,100.2,926562,98.27,3.66,100.02,100.6,100.31,低
2026-03-18,100.17,100.48,98.75,99.49,1082494,98.86,3.42,99.91,100.11,100.01,低
2026-03-19,101.14,102.16,98.7,99.68,1008618,98.99,3.42,99.09,100.51,99.8,低
2026-03-20,100.2,101.13,99.93,100.51,930570,99.33,3.73,100.85,100.59,100.72,低
2026-03-21,101.64,102.69,100.03,100.7,1066713,100.12,1.21,99.97,101.02,100.5,低
