model_id,return_decile,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,D1,450,0.007480411798351566,0.07740804862580261,0.08648937390426391,0.9495288402005877,0.8133333333333334,0.0,0.0,0.0,0.0
frets_return_l4__fixed_shrink_a075,D2,450,0.0018066301796347754,0.04203128672476545,0.042504472466256715,0.9609963134834002,0.74,0.0,0.0,0.0,0.0
frets_return_l4__fixed_shrink_a075,D3,450,0.0007779292590788264,0.027486370450222012,0.02789138324068612,0.943606455890467,0.7288888888888889,0.0,0.0,0.0,0.0
frets_return_l4__fixed_shrink_a075,D4,450,0.0003244410804407811,0.017691608670866086,0.018012248067378517,0.9234335280936029,0.74,0.0,0.0,0.0,0.0
frets_return_l4__fixed_shrink_a075,D5,450,0.00010271503979993113,0.009644203605712368,0.010134842860149887,0.8866541631037441,0.7333333333333333,0.0,0.0,0.0,0.0
frets_return_l4__fixed_shrink_a075,D6,450,1.2433561144332848e-05,0.002800193979508306,0.0035261255145460787,432.894900062545,0.5333333333333333,0.3617021276595745,0.2982456140350877,0.3269230769230769,-0.02546497574570655
frets_return_l4__fixed_shrink_a075,D7,450,5.820740403405032e-05,0.006900863448196648,0.007629377696381948,1.2405197346587855,0.32666666666666666,1.0,0.32666666666666666,0.4924623115577889,0.0
frets_return_l4__fixed_shrink_a075,D8,450,0.00028997193054991266,0.01653913469816965,0.017028562198550784,1.0879159737642723,0.29333333333333333,1.0,0.29333333333333333,0.45360824742268036,0.0
frets_return_l4__fixed_shrink_a075,D9,450,0.0010819628510632827,0.03196447249075081,0.03289320372148755,1.0409731659903063,0.3088888888888889,1.0,0.3088888888888889,0.47198641765704585,0.0
frets_return_l4__fixed_shrink_a075,D10,450,0.009212234610727963,0.08660547510002889,0.09598038659397014,1.034727832647858,0.27555555555555555,1.0,0.27555555555555555,0.43205574912891986,0.0
naive,D1,450,0.00801980681113267,0.0810390070825815,0.08955337409127961,1.0,0.0,0.0,0.0,0.0,0.0
naive,D2,450,0.0019387274395916013,0.04370380414028958,0.04403098272343693,1.0,0.0,0.0,0.0,0.0,0.0
naive,D3,450,0.0008601869727934911,0.029150468632578804,0.02932894428365077,1.0,0.0,0.0,0.0,0.0,0.0
naive,D4,450,0.0003725310909605849,0.01916169346620634,0.019301064503300974,1.0,0.0,0.0,0.0,0.0,0.0
naive,D5,450,0.00012486733514294524,0.010928237757955943,0.011174405359702379,1.0,0.0,0.0,0.0,0.0,0.0
naive,D6,450,1.0676669420266047e-05,0.0024840150261297438,0.0032675173175158606,0.7466666666666667,0.38,0.38,1.0,0.5507246376811594,0.0
naive,D7,450,4.138089903353147e-05,0.0059268458311756,0.006432798693689355,1.0,1.0,1.0,1.0,1.0,0.0
naive,D8,450,0.00024200559432612052,0.01526783587411041,0.015556528993516533,1.0,1.0,1.0,1.0,1.0,0.0
naive,D9,450,0.0009920351225059382,0.03069961987435813,0.03149658906145137,1.0,1.0,1.0,1.0,1.0,0.0
naive,D10,450,0.008785964688617384,0.08418524446586764,0.09373347688322131,1.0,1.0,1.0,1.0,1.0,0.0
stock_node_gwnet_feature_mask_l8,D1,450,0.007055615355565421,0.07366213461047866,0.08399771041859071,0.8952487941733531,0.8866666666666667,0.0,0.0,0.0,0.0
stock_node_gwnet_feature_mask_l8,D2,450,0.0015079913549033686,0.037998515284465,0.03883286436645343,0.8660757287001372,0.88,0.0,0.0,0.0,0.0
