model_id,industry_group,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,交通运输,360,0.0013410223951854862,0.02682474957133911,0.03661997262677139,4.3751144740073045,0.5861111111111111,0.3979591836734694,0.3023255813953488,0.3436123348017621,0.05054086177288642
frets_return_l4__fixed_shrink_a075,信息技术,405,0.003530439147465293,0.042052108813781415,0.05941749866382203,15.33164237731178,0.5061728395061729,0.5339805825242718,0.26570048309178745,0.3548387096774193,0.02671828161135753
frets_return_l4__fixed_shrink_a075,公用事业,405,0.000960778967474741,0.024162931663392326,0.030996434754254253,70.80662074609864,0.5432098765432098,0.5327102803738317,0.296875,0.3812709030100334,0.0703662210193627
frets_return_l4__fixed_shrink_a075,其他,405,0.002432459444254884,0.03440635395574058,0.04931997003501608,45.053566009365724,0.562962962962963,0.4716981132075472,0.29239766081871343,0.36101083032490977,0.05964307164441345
frets_return_l4__fixed_shrink_a075,医疗健康,405,0.0035596662120507233,0.03741424478156442,0.05966293834576641,19.328988323858773,0.5407407407407407,0.4745762711864407,0.3111111111111111,0.3758389261744966,0.03888239684313979
frets_return_l4__fixed_shrink_a075,原材料,405,0.0017304215286908361,0.029845127374017108,0.04159833564808616,14.09020377210268,0.5481481481481482,0.41964285714285715,0.28484848484848485,0.33935018050541516,0.015395810915644457
frets_return_l4__fixed_shrink_a075,可选消费,405,0.0028346158245338964,0.03790380252492151,0.053241110286449664,61.238131636292636,0.5209876543209877,0.5192307692307693,0.2727272727272727,0.3576158940397351,0.035679040659145185
frets_return_l4__fixed_shrink_a075,工业,405,0.0014043345439043251,0.027534861579525845,0.03747445188264033,10.84961535821439,0.49876543209876545,0.40336134453781514,0.26666666666666666,0.3210702341137124,-0.05333117858176858
frets_return_l4__fixed_shrink_a075,房地产,360,0.0018319133567418775,0.0320668493049096,0.04280085696270435,55.71916211753241,0.625,0.6339285714285714,0.4303030303030303,0.5126353790613718,0.23683131595738025
frets_return_l4__fixed_shrink_a075,日常消费,360,0.0023305555681676993,0.033922613486275684,0.048275827990493334,139.77487654348306,0.5972222222222222,0.4519230769230769,0.34814814814814815,0.39330543933054396,0.10127393670836667
frets_return_l4__fixed_shrink_a075,综合,225,0.0007708078634147073,0.021286287410184693,0.027763426723203807,65.29336755350677,0.56,0.3235294117647059,0.29333333333333333,0.30769230769230765,-0.01368707715069901
frets_return_l4__fixed_shrink_a075,能源,225,0.001656059224180662,0.026824712006685594,0.04069470756966638,41.733035175591034,0.5333333333333333,0.4745762711864407,0.27450980392156865,0.3478260869565218,0.025439959575588554
frets_return_l4__fixed_shrink_a075,金融,135,0.0024108900447148535,0.035924335239731015,0.04910081511252999,51.752802656302435,0.5037037037037037,0.5757575757575758,0.2638888888888889,0.3619047619047619,0.04836912437199343
naive,交通运输,360,0.0013480654700190951,0.02719634652021336,0.036716011085343885,0.9916666666666667,0.35833333333333334,0.35833333333333334,1.0,0.5276073619631901,0.0
naive,信息技术,405,0.0035111437334941747,0.04219500409973851,0.059254904720994823,0.9925925925925926,0.5111111111111111,0.5111111111111111,1.0,0.676470588235294,0.0
naive,公用事业,405,0.0009658774999130261,0.024259574293952254,0.031078569785513394,0.9629629629629629,0.4740740740740741,0.4740740740740741,1.0,0.6432160804020101,0.0
naive,其他,405,0.002444668498414672,0.034893735156704936,0.04944358905272424,0.9629629629629629,0.4222222222222222,0.4222222222222222,1.0,0.59375,0.0
naive,医疗健康,405,0.003646680109811971,0.03770415800132059,0.06038774801076764,0.9777777777777777,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,0.0
