model_id,market_cap_bucket_cutoff,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,large,1620,0.001723341128601573,0.029843326719847095,0.041513144046212314,61.72965247097593,0.5308641975308642,0.49539170506912444,0.2843915343915344,0.36134453781512604,0.034830554124010316
frets_return_l4__fixed_shrink_a075,mid,1485,0.0022881307638921464,0.03379010048830919,0.04783440983112624,29.979738479403682,0.5636363636363636,0.5037220843672456,0.3118279569892473,0.3851992409867173,0.08036358426737039
frets_return_l4__fixed_shrink_a075,small,1395,0.002384541332585701,0.03229946773908161,0.0488317656099562,38.968829094462116,0.5555555555555556,0.43103448275862066,0.3102836879432624,0.36082474226804123,0.03490224260621067
naive,large,1620,0.0017376191240350107,0.030043880769732814,0.041684758893809265,0.9703703703703703,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,0.0
naive,mid,1485,0.0023166631762751764,0.034228983501353345,0.048131727335253366,0.9858585858585859,0.4383838383838384,0.4383838383838384,1.0,0.6095505617977528,0.0
naive,small,1395,0.0024154081597711,0.03272037284701597,0.04914680213168605,0.967741935483871,0.4043010752688172,0.4043010752688172,1.0,0.5758039816232772,0.0
stock_node_gwnet_bounded_cwgan_gp_l8,large,1620,0.001760738196235174,0.02979565512138863,0.04196115103563264,152.01044979204872,0.5481481481481482,0.5631578947368421,0.14153439153439154,0.226215644820296,0.07050077012898258
stock_node_gwnet_bounded_cwgan_gp_l8,mid,1485,0.0022878942585892294,0.033417930655527874,0.047831937642011005,42.888653655929986,0.5744107744107744,0.5454545454545454,0.17511520737327188,0.2651162790697674,0.08733159872329642
stock_node_gwnet_bounded_cwgan_gp_l8,small,1395,0.0023800619008867035,0.03192453177693366,0.04878587808871235,94.91633861407944,0.607168458781362,0.5213903743315508,0.34574468085106386,0.41577825159914705,0.14440235630603349
stock_node_gwnet_feature_mask_l8,large,1620,0.0017643906589129242,0.029688691312266056,0.042004650443884475,132.3747815185741,0.5506172839506173,0.5921052631578947,0.11904761904761904,0.19823788546255505,0.08090720489940437
stock_node_gwnet_feature_mask_l8,mid,1485,0.002288403217634819,0.03338311416350195,0.04783725763079254,41.878090825593986,0.5703703703703704,0.5333333333333333,0.1597542242703533,0.24586288416075652,0.07439916195133617
stock_node_gwnet_feature_mask_l8,small,1395,0.00241018768348622,0.03200886236252526,0.04909366235560574,86.03779541180816,0.5806451612903226,0.4752941176470588,0.35815602836879434,0.4084934277047522,0.09575435378429532
stock_node_gwnet_fixed_industry_l8,large,1620,0.0017575014784264496,0.02965326464029289,0.04192256526533711,122.26601074315636,0.5487654320987654,0.5954198473282443,0.10317460317460317,0.1758737316798196,0.07654970316231975
stock_node_gwnet_fixed_industry_l8,mid,1485,0.0022836885586878324,0.033365478440029475,0.04778795411699304,37.3414258814842,0.5663299663299664,0.5195530726256983,0.14285714285714285,0.22409638554216868,0.06056187463657943
stock_node_gwnet_fixed_industry_l8,small,1395,0.0024136158752156044,0.0320511030571912,0.049128564758352186,80.21499299592223,0.5835125448028674,0.4794188861985472,0.35106382978723405,0.4053224155578301,0.09926504618109842
stock_node_gwnet_noise_aug_l8,large,1620,0.0017634040472981195,0.029684835532536386,0.041992904725657164,131.55745936677675,0.5481481481481482,0.5882352941176471,0.10582010582010581,0.17937219730941703,0.0737685526579852
stock_node_gwnet_noise_aug_l8,mid,1485,0.0022865569034601217,0.03336318347925279,0.047817955868691434,39.87073729147903,0.5676767676767677,0.5254237288135594,0.14285714285714285,0.2246376811594203,0.06452886567200178
stock_node_gwnet_noise_aug_l8,small,1395,0.0024090714215524206,0.032010399818789226,0.04908229234206997,85.23544649129057,0.5827956989247312,0.47815533980582525,0.34929078014184395,0.4036885245901639,0.09742750265595816
stock_node_gwnet_tail_weighted_l8,large,1620,0.0017660217961075486,0.029789140701069694,0.042024062108600935,102.30877080284658,0.5648148148148148,0.5672823218997362,0.2843915343915344,0.37885462555066085,0.11145422069353209
stock_node_gwnet_tail_weighted_l8,mid,1485,0.002285927715320462,0.03356849740440436,0.04781137642152192,34.835361744121734,0.5683501683501684,0.5114678899082569,0.3425499231950845,0.41030358785648574,0.0949578886524436
stock_node_gwnet_tail_weighted_l8,small,1395,0.002450978566613759,0.03241519837545921,0.04950735871174869,96.50998067557148,0.5584229390681004,0.4619883040935672,0.5602836879432624,0.5064102564102564,0.11529409669919333
