comparison,fold_id,mcc_delta,brier_delta,weekly_ic_delta
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_01,0.05774295257536318,-0.0015963906264185868,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_02,0.06098925445557622,-0.0008504470514454354,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_03,0.07342691820814393,-0.004335863076027846,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_04,0.08145896202400395,-0.007314659537568491,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_05,0.10229528902393899,-0.009708304707002346,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_PRIOR,REV2_RO_06,0.08104067053204739,-0.006563266642983456,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_01,0.05774295257536318,-1.201026834774917,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_02,0.06098925445557622,-1.195542402998783,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_03,0.07342691820814393,-1.1816871441197097,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_04,0.08145896202400395,-1.2292171912197054,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_05,0.10229528902393899,-1.1658805822649245,
INCUMBENT_ORDINAL_T2_DEV - NAIVE_NEUTRAL,REV2_RO_06,0.08104067053204739,-1.1248016946436867,


