scored_rows,mcc,brier,mean_weekly_spearman_ic,weekly_ic_count,baseline_id,fold_id
5859,0.05774295257536318,0.588357019125066,0.10901639979068381,19,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_01
5540,0.06098925445557622,0.5900171637882207,0.09458169578925725,18,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_02
5511,0.07342691820814393,0.5904050351580982,0.13079106050359568,18,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_03
5476,0.08145896202400395,0.5768456283566277,0.18166957001314538,18,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_04
5481,0.10229528902393899,0.59000338051559,0.18106793386796147,18,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_05
5415,0.08104067053204739,0.6022527836573289,0.1528957759872687,18,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_06
5859,0.0,1.789383853899983,,0,NAIVE_NEUTRAL,REV2_RO_01
5540,0.0,1.7855595667870037,,0,NAIVE_NEUTRAL,REV2_RO_02
5511,0.0,1.772092179277808,,0,NAIVE_NEUTRAL,REV2_RO_03
5476,0.0,1.806062819576333,,0,NAIVE_NEUTRAL,REV2_RO_04
5481,0.0,1.7558839627805145,,0,NAIVE_NEUTRAL,REV2_RO_05
5415,0.0,1.7270544783010158,,0,NAIVE_NEUTRAL,REV2_RO_06
5859,0.0,0.5899534097514846,,0,NAIVE_PRIOR,REV2_RO_01
5540,0.0,0.5908676108396661,,0,NAIVE_PRIOR,REV2_RO_02
5511,0.0,0.594740898234126,,0,NAIVE_PRIOR,REV2_RO_03
5476,0.0,0.5841602878941962,,0,NAIVE_PRIOR,REV2_RO_04
5481,0.0,0.5997116852225923,,0,NAIVE_PRIOR,REV2_RO_05
5415,0.0,0.6088160503003124,,0,NAIVE_PRIOR,REV2_RO_06


