bin,lower,upper,count,mean_confidence,empirical_accuracy,model_id
0,0.0,0.1,0,,,INCUMBENT_ORDINAL_T2_DEV
1,0.1,0.2,0,,,INCUMBENT_ORDINAL_T2_DEV
2,0.2,0.3,0,,,INCUMBENT_ORDINAL_T2_DEV
3,0.3,0.4,0,,,INCUMBENT_ORDINAL_T2_DEV
4,0.4,0.5,25186,0.4640188632528476,0.4656952275073454,INCUMBENT_ORDINAL_T2_DEV
5,0.5,0.6,7311,0.5292067162014289,0.5289290110791958,INCUMBENT_ORDINAL_T2_DEV
6,0.6,0.7,731,0.6317293661058376,0.6142270861833106,INCUMBENT_ORDINAL_T2_DEV
7,0.7,0.8,50,0.7313129180140286,0.68,INCUMBENT_ORDINAL_T2_DEV
8,0.8,0.9,4,0.8253734378489559,0.75,INCUMBENT_ORDINAL_T2_DEV
9,0.9,1.0,0,,,INCUMBENT_ORDINAL_T2_DEV
0,0.0,0.1,0,,,NAIVE_NEUTRAL
1,0.1,0.2,0,,,NAIVE_NEUTRAL
2,0.2,0.3,0,,,NAIVE_NEUTRAL
3,0.3,0.4,0,,,NAIVE_NEUTRAL
4,0.4,0.5,0,,,NAIVE_NEUTRAL
5,0.5,0.6,0,,,NAIVE_NEUTRAL
6,0.6,0.7,0,,,NAIVE_NEUTRAL
7,0.7,0.8,0,,,NAIVE_NEUTRAL
8,0.8,0.9,0,,,NAIVE_NEUTRAL
9,0.9,1.0,33282,0.999999999999998,0.11351481281173006,NAIVE_NEUTRAL
0,0.0,0.1,0,,,NAIVE_PRIOR
1,0.1,0.2,0,,,NAIVE_PRIOR
2,0.2,0.3,0,,,NAIVE_PRIOR
3,0.3,0.4,0,,,NAIVE_PRIOR
4,0.4,0.5,33282,0.43715509653440865,0.4452256474971456,NAIVE_PRIOR
5,0.5,0.6,0,,,NAIVE_PRIOR
6,0.6,0.7,0,,,NAIVE_PRIOR
7,0.7,0.8,0,,,NAIVE_PRIOR
8,0.8,0.9,0,,,NAIVE_PRIOR
9,0.9,1.0,0,,,NAIVE_PRIOR
0,0.0,0.1,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
1,0.1,0.2,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
2,0.2,0.3,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
3,0.3,0.4,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
4,0.4,0.5,31560,0.4469449268070477,0.4776615969581749,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
5,0.5,0.6,1705,0.5192955874119821,0.5835777126099707,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
6,0.6,0.7,17,0.6169568813633994,0.4117647058823529,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
7,0.7,0.8,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
8,0.8,0.9,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL
9,0.9,1.0,0,,,REV8_C0_TARGET_ADAPTED_HETEROSKEDASTIC_ORDINAL


