trade_date,membership_row_count,distinct_stock_code_count,fold_count,split_role_count
2018-06-08,1872,312,6,1
2018-06-15,1872,312,6,1
2018-06-22,1872,312,6,1
2018-06-29,1872,312,6,1
2018-07-06,1872,312,6,1
2018-07-13,1872,312,6,1
2018-07-20,1872,312,6,1
2018-07-27,1872,312,6,1
2018-08-03,1872,312,6,1
2018-08-10,1872,312,6,1
2018-08-17,1872,312,6,1
2018-08-24,1872,312,6,1
2018-08-31,1872,312,6,1
2018-09-07,1872,312,6,1
2018-09-14,1872,312,6,1
2018-09-21,1872,312,6,1
2018-09-28,1872,312,6,1
2018-10-05,1872,312,6,1
2018-10-12,1872,312,6,1
2018-10-19,1872,312,6,1
2018-10-26,1872,312,6,1
2018-11-02,1872,312,6,1
2018-11-09,1872,312,6,1
2018-11-16,1872,312,6,1
2018-11-23,1872,312,6,1
2018-11-30,1872,312,6,1
2018-12-07,1872,312,6,1
2018-12-14,1872,312,6,1
2018-12-21,1872,312,6,1
2018-12-28,1872,312,6,1
2019-01-04,1872,312,6,1
2019-01-11,1872,312,6,1
2019-01-18,1872,312,6,1
2019-01-25,1872,312,6,1
2019-02-01,1872,312,6,1
2019-02-08,1872,312,6,1
2019-02-15,1872,312,6,1
2019-02-22,1872,312,6,1
2019-03-01,1872,312,6,1
2019-03-08,1872,312,6,1
2019-03-15,1872,312,6,1
2019-03-22,1872,312,6,1
2019-03-29,1872,312,6,1
2019-04-05,1872,312,6,1
2019-04-12,1872,312,6,1
2019-04-19,1872,312,6,1
2019-04-26,1872,312,6,1
2019-05-03,1872,312,6,1
2019-05-10,1872,312,6,1
2019-05-17,1872,312,6,1
2019-05-24,1872,312,6,1
2019-05-31,1872,312,6,1
2019-06-07,1872,312,6,1
2019-06-14,1872,312,6,1
2019-06-21,1872,312,6,1
2019-06-28,1872,312,6,1
2019-07-05,1872,312,6,1
2019-07-12,1872,312,6,1
2019-07-19,1872,312,6,1
2019-07-26,1872,312,6,1
2019-08-02,1872,312,6,1
2019-08-09,1872,312,6,1
2019-08-16,1872,312,6,1
2019-08-23,1872,312,6,1
2019-08-30,1872,312,6,1
2019-09-06,1872,312,6,1
2019-09-13,1872,312,6,1
2019-09-20,1872,312,6,1
2019-09-27,1872,312,6,1
2019-10-04,1872,312,6,1
2019-10-11,1872,312,6,1
2019-10-18,1872,312,6,1
2019-10-25,1872,312,6,1
2019-11-01,1872,312,6,1
2019-11-08,1872,312,6,1
2019-11-15,1872,312,6,1
2019-11-22,1872,312,6,1
2019-11-29,1872,312,6,1
2019-12-06,1872,312,6,1
2019-12-13,1872,312,6,1
2019-12-20,1872,312,6,1
2019-12-27,1872,312,6,1
2020-01-03,1872,312,6,1
2020-01-10,1872,312,6,1
2020-01-17,1872,312,6,1
2020-01-24,1872,312,6,1
2020-01-31,1872,312,6,1
2020-02-07,1872,312,6,1
